Vial,individual,Count,Total Area,Average Size,%Area,Mean,corrected area,pixels per um ,Species,Day,Treatment
537,1,4976,46605,9.366,0.749,255,46605,0.10676966,DPSE,7_HighTemp,HighTemp
537,2,8027,94059,11.718,1.512,255,94059,0.085340053,DPSE,7_HighTemp,HighTemp
537,3,7137,170024,23.823,2.733,255,170024,0.041976427,DPSE,7_HighTemp,HighTemp
564,1A,3478,17405,5.004,0.28,255,17405,0.199827636,DPSE,7_HighTemp,HighTemp
564,1B,2521,16310,6.47,0.262,255,16310,0.15456775,DPSE,7_HighTemp,HighTemp
564,2,2643,28892,10.932,0.464,255,28892,0.09147861,DPSE,7_HighTemp,HighTemp
564,3,5822,60287,10.355,0.969,255,60287,0.0965714,DPSE,7_HighTemp,HighTemp
564,4,3047,26551,8.714,0.427,255,26551,0.114760273,DPSE,7_HighTemp,HighTemp
564,5A,2423,34836,14.377,0.56,255,34836,0.069554484,DPSE,7_HighTemp,HighTemp
564,5B,3313,37050,11.183,0.596,255,37050,0.089419703,DPSE,7_HighTemp,HighTemp
564,6,3632,19391,5.339,0.312,255,19391,0.187303388,DPSE,7_HighTemp,HighTemp
564,7,1536,16261,10.587,0.261,255,16261,0.094459135,DPSE,7_HighTemp,HighTemp
564,8,14536,175639,12.083,2.823,255,175639,0.082760662,DPSE,7_HighTemp,HighTemp
785,1,510,7228,14.173,0.116,255,7228,0.070558937,DPSE,2_HighTemp,HighTemp
785,2,359,6954,19.37,0.112,255,6954,0.051624964,DPSE,2_HighTemp,HighTemp
785,3,7167,39476,5.508,0.635,255,39476,0.181553349,DPSE,2_HighTemp,HighTemp
785,4,2747,12447,4.531,0.2,255,12447,0.22069575,DPSE,2_HighTemp,HighTemp
785,5,2832,28026,9.896,0.451,255,28026,0.101049026,DPSE,2_HighTemp,HighTemp
785,6,2867,43380,15.131,0.697,255,43380,0.066090364,DPSE,2_HighTemp,HighTemp
786,1,2524,17602,6.974,0.283,255,17602,0.143392796,DPSE,2_HighTemp,HighTemp
786,2,2251,12510,5.558,0.201,255,12510,0.179936051,DPSE,2_HighTemp,HighTemp
786,3,2503,17440,6.968,0.28,255,17440,0.143520642,DPSE,2_HighTemp,HighTemp
786,4,5433,150156,27.638,2.414,255,150156,0.03618237,DPSE,2_HighTemp,HighTemp
830,1,762,7355,9.652,0.118,255,7355,0.103602991,DPSE,2_Control,Control
830,2,1525,8492,5.569,0.137,255,8492,0.179580782,DPSE,2_Control,Control
830,3,1973,12205,6.186,0.196,255,12205,0.161655059,DPSE,2_Control,Control
830,4,5741,23681,4.125,0.381,255,23681,0.242430641,DPSE,2_Control,Control
830,5,4558,14268,3.13,0.229,255,14268,0.319456126,DPSE,2_Control,Control
830,6,5633,78470,13.93,1.261,255,78470,0.071785396,DPSE,2_Control,Control
830,7,9303,153353,16.484,2.465,255,153353,0.060663958,DPSE,2_Control,Control
830,8,11748,244409,20.804,3.929,255,244409,0.04806697,DPSE,2_Control,Control
833,1,1561,10630,6.81,0.171,255,10630,0.146848542,DPSE,2_Control,Control
833,2,240,7588,31.617,0.122,255,7588,0.031628888,DPSE,2_Control,Control
833,3A,1575,11834,7.514,0.19,255,11834,0.133091093,DPSE,2_Control,Control
