Date,File Name,Syringe No,Species,Round,Sex,Pre-Weight,Post-Weight,Hours,Minutes,Chm Vol,Inj Vol,TVCO2,TVO2,Treatment,Comment,Line,Mass,Time,Vol corr,O2pHRraw,O2pHR,CO2pHR,RQ,O2pHRpG,CO2pHRpG,,O2pHRpG,CO2pHRpG,,,,,
June 14th,OneNote,10 ,DMEL ,2,M,0.00065,0.00057,4,22,0.5,0.25,6.43E-05,6.23E-05,Control,,,0.00008,4.37,0.578,3.30E-05,3.27E-05,3.40E-05,1.04,0.408545601,0.425565096,xxx,0.4085456,0.4255651,,,,,
June 14th,OneNote,9 ,DMEL ,2,M,0.00088,0.0007,4,19,0.5,0.25,6.13E-05,6.08E-05,Control,,,0.00018,4.32,0.578,3.25E-05,3.25E-05,3.28E-05,1.01,0.180327259,0.182366444,xxx,0.1803273,0.1823664,,,,,
June 14th,OneNote,3 ,DPSE,4,F,0.001,0.00098,4,8,0.5,0.25,3.85E-05,3.95E-05,Control,,,0.00002,4.13,0.578,2.21E-05,2.22E-05,2.15E-05,0.97,1.111239054,1.076481877,xxx,1.1112391,1.0764819,,,,,
June 14th,OneNote,4 ,DMEL ,1,M,0.00081,0.00073,4,8,0.5,0.25,5.12E-05,5.29E-05,High Temp,,,0.00008,4.13,0.578,2.96E-05,2.98E-05,2.87E-05,0.96,0.372720033,0.358230463,xxx,0.37272,0.3582305,,,DPSEhighT,,
June 14th,OneNote,21 ,DMEL ,3,M,0.00076,0.00072,4,55,0.5,0.25,7.90E-05,8.18E-05,Control,,,0.00004,4.92,0.578,3.85E-05,3.88E-05,3.71E-05,0.96,0.970923202,0.9281867,xxx,0.9709232,0.9281867,,,,,
June 14th,OneNote,14 ,DMEL ,3,F,0.00132,0.00116,4,36,0.5,0.25,7.83E-05,8.30E-05,Control,,,0.00016,4.6,0.578,4.17E-05,4.23E-05,3.94E-05,0.93,0.264508683,0.246045035,xxx,0.2645087,0.246045,,,NO,0.4151,0
June 14th,OneNote,22 ,DPSE,5,M,0.00091,0.00083,4,24,0.5,0.25,5.81E-05,6.19E-05,Control,,,0.00008,4.4,0.578,3.25E-05,3.30E-05,3.05E-05,0.92,0.412795475,0.381291715,xxx,0.4127955,0.3812917,,,,,
June 14th,OneNote,16 ,DPSE,5,M,0.00106,0.00087,4,11,0.5,0.25,5.80E-05,6.24E-05,Control,,,0.00019,4.18,0.578,3.45E-05,3.51E-05,3.20E-05,0.91,0.184733752,0.168665085,xxx,0.1847338,0.1686651,,,CO,0.3406,0
June 14th,OneNote,16 ,DMEL ,3,M,0.00073,0.00065,4,41,0.5,0.25,6.25E-05,7.06E-05,Control,,,0.00008,4.68,0.578,3.49E-05,3.59E-05,3.09E-05,0.86,0.449064478,0.385688199,xxx,0.4490645,0.3856882,,,,,
June 14th,OneNote,11 ,DPSE,7,F,0.00123,0,4,46,0.5,0.25,8.06E-05,9.15E-05,High Temp,Flew away for Weight 2 ,,0.00123,4.77,0.577,4.43E-05,4.57E-05,3.90E-05,0.85,0.037123573,0.031705568,xxx,0.0371236,0.0317056,,,,,
June 14th,OneNote,25 ,DPSE,9,F,0.0014,0.0012,4,38,0.5,0.25,7.87E-05,8.97E-05,High Temp,,,0.0002,4.63,0.578,4.48E-05,4.62E-05,3.93E-05,0.85,0.231086135,0.196294749,xxx,0.2310861,0.1962947,,,,,
June 14th,OneNote,20 ,DMEL ,3,M,0.00079,0.00066,4,53,0.5,0.25,8.06E-05,9.25E-05,Control,,,0.00013,4.88,0.578,4.38E-05,4.53E-05,3.81E-05,0.84,0.348377121,0.293288868,xxx,0.3483771,0.2932889,,,,,
June 14th,OneNote,15 ,DPSE,8,M,0.00083,0.00068,4,23,0.5,0.25,5.07E-05,5.86E-05,High Temp,,,0.00015,4.38,0.578,3.09E-05,3.20E-05,2.68E-05,0.84,0.213407916,0.178337986,xxx,0.2134079,0.178338,,,,,
June 14th,OneNote,1 ,DMEL ,1,M,0.00083,0.00066,4,0,0.5,0.25,5.88E-05,6.84E-05,High Temp,,,0.00017,4,0.578,3.95E-05,4.10E-05,3.40E-05,0.83,0.24127804,0.200003098,xxx,0.241278,0.2000031,,,,MSVO2,VO2
June 14th,OneNote,7 ,DMEL ,1,M,0.00069,0.00058,4,18,0.5,0.25,5.25E-05,6.08E-05,High Temp,,,0.00011,4.3,0.578,3.27E-05,3.38E-05,2.82E-05,0.83,0.30764287,0.256745214,xxx,0.3076429,0.2567452,,,DMELhighT,#DIV/0!,0
June 14th,OneNote,21 ,DPSE,5,M,0.00083,0.00075,4,22,0.5,0.25,5.70E-05,6.61E-05,Control,,,0.00008,4.37,0.578,3.50E-05,3.62E-05,3.02E-05,0.83,0.45291004,0.377356643,xxx,0.45291,0.3773566,,,,,
June 14th,OneNote,17 ,DPSE,8,M,0.0009,0.00059,4,28,0.5,0.25,4.83E-05,5.60E-05,High Temp,,,0.00031,4.47,0.578,2.90E-05,3.00E-05,2.50E-05,0.83,0.096789829,0.080641492,xxx,0.0967898,0.0806415,,,,,
June 14th,OneNote,7 ,DMEL ,2,M,0.0009,0.00063,4,14,0.5,0.25,6.51E-05,7.66E-05,Control,,,0.00027,4.23,0.578,4.18E-05,4.35E-05,3.55E-05,0.82,0.161121322,0.131603044,xxx,0.1611213,0.131603,,,,,
June 14th,OneNote,20 ,DPSE,5,M,0.00131,0.00097,4,20,0.5,0.25,6.36E-05,7.42E-05,Control,,,0.00034,4.33,0.578,3.96E-05,4.11E-05,3.39E-05,0.82,0.120830264,0.099675969,xxx,0.1208303,0.099676,,,OO,0.1954,0
June 14th,OneNote,3 ,DMEL ,1,M,0.00088,0.00068,4,7,0.5,0.25,6.48E-05,7.72E-05,High Temp,,,0.0002,4.12,0.578,4.34E-05,4.52E-05,3.64E-05,0.81,0.225980069,0.181931785,xxx,0.2259801,0.1819318,,,DPSEcontrol,0.0972,0
