Round,Bottle ,Species,Treatment,Sex ,F1 Vial ,First fall at ,CT max at ,CompleteTreatment,comments 
1,1 ,DPSE,HighTemp,F ,191 ,32.6 ,35.2 ,HighTemp_Switched,
1,2 ,DPSE,HighTemp,F ,191 ,32.4 ,35.3 ,HighTemp_Switched,
1,3 ,DPSE,HighTemp,F ,191 ,32.9 ,35.4 ,HighTemp_Switched,
1,4 ,DPSE,HighTemp,F ,191 ,32.1 ,35.4 ,HighTemp_Switched,
1,5 ,DPSE,HighTemp,F ,191 ,32.1 ,35.4 ,HighTemp_Switched,
1,6 ,DPSE,HighTemp,F ,191 ,29.3 ,35.4 ,HighTemp_Switched,
1,7 ,DPSE,HighTemp,F ,191 ,33.2 ,35.5 ,HighTemp_Switched,
1,8 ,DPSE,HighTemp,F ,191 ,31.7 ,35.5 ,HighTemp_Switched,
1,9 ,DPSE,HighTemp,F ,191 ,32.3 ,35.6 ,HighTemp_Switched,
1,10 ,DPSE,HighTemp,F ,191 ,31.8 ,36.1 ,HighTemp_Switched,
1,11 ,DPSE,HighTemp,F ,192 ,32.7 ,35.5 ,HighTemp_Switched,
1,12 ,DPSE,HighTemp,F ,192 ,33.0 ,35.5 ,HighTemp_Switched,
1,13 ,DPSE,HighTemp,F ,192 ,32.3 ,35.6 ,HighTemp_Switched,
1,14 ,DPSE,HighTemp,F ,192 ,31.8 ,35.8 ,HighTemp_Switched,
1,15 ,DPSE,HighTemp,F ,192 ,32.4 ,35.6 ,HighTemp_Switched,
1,16 ,DPSE,HighTemp,F ,192 ,32.1 ,35.9 ,HighTemp_Switched,
1,17 ,DPSE,HighTemp,F ,192 ,31.9 ,35.6 ,HighTemp_Switched,
1,18 ,DPSE,HighTemp,F ,192 ,31.8 ,35.6 ,HighTemp_Switched,
1,19 ,DPSE,HighTemp,F ,192 ,32.7 ,35.6 ,HighTemp_Switched,
1,20 ,DPSE,HighTemp,F ,192 ,32.5 ,36.0 ,HighTemp_Switched,
2,21 ,DPSE,HighTemp,M ,206 ,33.7 ,35.3 ,HighTemp_Switched,
2,22 ,DPSE,HighTemp,M ,206 ,31.1 ,35.6 ,HighTemp_Switched,
2,23 ,DPSE,HighTemp,M ,206 ,33.3 ,34.4 ,HighTemp_Switched,
2,24 ,DPSE,HighTemp,M ,206 ,32.0 ,35.0 ,HighTemp_Switched,
2,25 ,DPSE,HighTemp,M ,206 ,31.0 ,34.7 ,HighTemp_Switched,
2,26 ,DPSE,HighTemp,M ,206 ,30.3 ,35.0 ,HighTemp_Switched,
2,27 ,DPSE,HighTemp,M ,206 ,31.7 ,33.8 ,HighTemp_Switched,
2,28 ,DPSE,HighTemp,M ,206 ,33.4 ,34.5 ,HighTemp_Switched,
2,29 ,DPSE,HighTemp,M ,205 ,29.7 ,34.1 ,HighTemp_Switched,
2,30 ,DPSE,HighTemp,M ,205 ,32.2 ,34.6 ,HighTemp_Switched,
2,31 ,DPSE,HighTemp,M ,205 ,29.9 ,34.1 ,HighTemp_Switched,
2,32 ,DPSE,HighTemp,M ,205 ,30.2 ,34.6 ,HighTemp_Switched,
2,33 ,DPSE,HighTemp,M ,205 ,31.0 ,34.3 ,HighTemp_Switched,
2,34 ,DPSE,HighTemp,M ,205 ,29.9 ,33.9 ,HighTemp_Switched,
2,35 ,DPSE,HighTemp,M ,205 ,30.2 ,35.2 ,HighTemp_Switched,
2,36 ,DPSE,HighTemp,M ,205 ,30.5 ,34.4 ,HighTemp_Switched,
2,37 ,DPSE,Control,F ,181 ,,35.4 ,Control_Switched,
2,38 ,DPSE,Control,F ,181 ,31.1 ,35.4 ,Control_Switched,
2,39 ,DPSE,Control,F ,181 ,,34.7 ,Control_Switched,
2,40 ,DPSE,Control,F ,181 ,32.8 ,34.9 ,Control_Switched,
2,41 ,DPSE,Control,F ,181 ,33.6 ,35.4 ,Control_Switched,
2,42 ,DPSE,Control,F ,181 ,32.8 ,35.0 ,Control_Switched,
2,43 ,DPSE,Control,F ,182 ,32.1 ,34.8 ,Control_Switched,
2,44 ,DPSE,Control,F ,182 ,,35.8 ,Control_Switched,
2,45 ,DPSE,Control,F ,182 ,31.7 ,34.7 ,Control_Switched,
2,46 ,DPSE,Control,F ,182 ,30.6 ,35.6 ,Control_Switched,
2,47 ,DPSE,Control,F ,182 ,32.9 ,35.5 ,Control_Switched,
2,48 ,DPSE,Control,F ,182 ,34.1 ,34.9 ,Control_Switched,
3,1 ,DPSE,Control,F ,182 ,,36.6 ,Control_Switched,
3,2 ,DPSE,Control,F ,181 ,,35.9 ,Control_Switched,
3,3 ,DPSE,Control,F ,182 ,,35.6 ,Control_Switched,
3,4 ,DPSE,Control,M ,216 ,32.6 ,35.6 ,Control_Switched,
3,5 ,DPSE,Control,M ,216 ,29.8 ,33.9 ,Control_Switched,
3,6 ,DPSE,Control,M ,216 ,30.7 ,35.8 ,Control_Switched,
3,7 ,DPSE,Control,M ,216 ,30.2 ,35.2 ,Control_Switched,
3,8 ,DPSE,Control,M ,216 ,,34.8 ,Control_Switched,
3,9 ,DPSE,Control,M ,216 ,,35.1 ,Control_Switched,
3,10 ,DPSE,Control,M ,216 ,,35.4 ,Control_Switched,
3,11 ,DPSE,Control,M ,217 ,,35.2 ,Control_Switched,
3,12 ,DPSE,Control,M ,217 ,,35.4 ,Control_Switched,
3,13 ,DPSE,Control,M ,217 ,,35.4 ,Control_Switched,
3,14 ,DPSE,Control,M ,217 ,,34.7 ,Control_Switched,
3,15 ,DPSE,Control,M ,217 ,,35.4 ,Control_Switched,
