Date,CompleteTreatment,SyringeNo,Species,Round,Sex,Pre-Weight,Post-Weight,Hours,Minutes,ChmVol,InjVol,TVCO2,TVO2,Treatment,Comment,Line,Mass,Time,Volcorr,O2pHRraw,O2pHR,CO2pHR,RQ,O2pHRpG,CO2pHRpG
NA,Control_Kept,18,DPSE,17,F,0.00136,0.0013,4,7,0.5,0.25,1.31E-05,0.00E+00,Control ,Lookeddeadinsidesyringe,Kept,0.00006,4.12,0.578,0.00E+00,-1.95E-06,7.35E-06,0,-0.032449749,0.122515623
NA,HighTempt_Kept,22,DPSE,14,F,0.00088,0.00087,4,23,0.5,0.25,4.69E-05,5.65E-05,HighTemp,,Kept,0.00001,4.38,0.578,2.98E-05,3.12E-05,2.47E-05,0.79349451,3.117022821,2.473340504
NA,HighTempt_Kept,16,DPSE,14,F,0.00129,0.00126,4,7,0.5,0.25,4.51E-05,5.44E-05,HighTemp,,Kept,0.00003,4.12,0.578,3.05E-05,3.19E-05,2.53E-05,0.79398256,1.063968724,0.844772608
NA,Control_Kept,29,DPSE,15,M,0.00079,0.00075,4,28,0.5,0.25,3.98E-05,4.58E-05,Control ,,Kept,0.00004,4.47,0.578,2.37E-05,2.45E-05,2.06E-05,0.84010281,0.613190979,0.515143466
NA,Control_Kept,23,DMEL,20,F,0.00117,0.00082,5,2,0.5,0.25,1.18E-04,1.29E-04,Control ,,Kept,0.00035,5.03,0.578,5.92E-05,6.05E-05,5.44E-05,0.89902855,0.172808028,0.15535935
NA,Control_Kept,13,DPSE,17,F,0.0012,0.00112,3,55,0.5,0.25,4.30E-05,4.63E-05,Control ,,Kept,0.00008,3.92,0.578,2.73E-05,2.78E-05,2.54E-05,0.91180008,0.347971711,0.317280632
NA,Control_Kept,22,DPSE,17,F,0.00129,0.00125,4,17,0.5,0.25,6.21E-05,6.60E-05,Control ,,Kept,0.00004,4.28,0.578,3.56E-05,3.62E-05,3.35E-05,0.92629057,0.90462679,0.837947267
NA,Control_Kept,26,DMEL,20,M,0.0008,0.00079,5,10,0.5,0.25,6.09E-05,6.46E-05,Control ,,Kept,0.00001,5.17,0.578,2.89E-05,2.94E-05,2.73E-05,0.92826183,2.936321026,2.725674717
NA,HighTempt_Kept,11,DMEL,21,F,0.00121,0.00106,4,26,0.5,0.25,6.28E-05,6.86E-05,HighTemp,,Kept,0.00015,4.43,0.578,3.57E-05,3.65E-05,3.28E-05,0.89647988,0.243603936,0.218386028
NA,HighTempt_Kept,23,DPSE,15,F,0.0009,0.00085,4,6,0.5,0.25,4.37E-05,4.76E-05,HighTemp,,Kept,0.00005,4.1,0.578,2.68E-05,2.74E-05,2.46E-05,0.89779688,0.548637872,0.492565372
NA,HighTempt_Kept,1,DPSE,18,M,0.0008,0.00075,3,58,0.5,0.25,3.55E-05,3.83E-05,HighTemp,HightempkeptDPSE,Kept,0.00005,3.97,0.578,2.23E-05,2.28E-05,2.07E-05,0.90834471,0.45513203,0.413416773
NA,Control_Kept,26,DMEL,23,F,0.00121,0.00117,4,12,0.5,0.25,7.68E-05,8.10E-05,Control ,,Kept,0.00004,4.2,0.578,4.46E-05,4.52E-05,4.23E-05,0.93520342,1.129707595,1.056506407
NA,Control_Kept,11,DPSE,16,F,0.00142,0.00136,4,21,0.5,0.25,6.12E-05,6.36E-05,Control ,Purgeweird,Kept,0.00006,4.35,0.578,3.38E-05,3.41E-05,3.25E-05,0.95201307,0.569061012,0.541753521
NA,Control_Kept,24,DPSE,15,M,0.00107,0.00078,4,10,0.5,0.25,4.16E-05,4.30E-05,Control ,,Kept,0.00029,4.17,0.578,2.38E-05,2.40E-05,2.31E-05,0.96045025,0.082846921,0.079570346
NA,Control_Kept,26,DPSE,15,M,0.0008,0.00077,4,19,0.5,0.25,6.24E-05,6.43E-05,Control ,wet,Kept,0.00003,4.32,0.578,3.44E-05,3.47E-05,3.34E-05,0.96271824,1.156970579,1.113836677
NA,Control_Kept,28,DPSE,15,M,0.00092,0.00087,4,26,0.5,0.25,4.66E-05,4.79E-05,Control ,,Kept,0.00005,4.43,0.578,2.50E-05,2.51E-05,2.43E-05,0.96637448,0.502602969,0.485702683
