Date,Age,SyringeNo,Species,Round,Sex,Pre-Weight,Post-Weight,Hours,Minutes,ChmVol,InjVol,TVCO2,TVO2,Treatment,Comment,Line,Mass,Time,Volcorr,O2pHRraw,O2pHR,CO2pHR,RQ,O2pHRpG,CO2pHRpG
NA,2,17,DPSE,3,F,0.00157,0.00142,4,0,0.5,0.25,5.72E-05,6.04E-05,,,,0.00015,4,0.578,3.49E-05,3.54E-05,3.31E-05,0.93412619,0.235989906,0.220444353
NA,2,18,DPSE,3,F,0.00159,0.0014,4,5,0.5,0.25,6.73E-05,6.79E-05,,,,0.00019,4.08,0.578,3.84E-05,3.85E-05,3.81E-05,0.98925818,0.202629636,0.200453025
NA,2,19,DPSE,3,F,0.00103,0.00073,4,7,0.5,0.25,3.17E-05,2.91E-05,,,,0.0003,4.12,0.578,1.63E-05,1.59E-05,1.78E-05,1.11616549,0.053125544,0.059296899
NA,2,20,DPSE,3,F,0.00134,0.00035,4,11,0.5,0.25,4.43E-05,4.08E-05,,,,0.00099,4.18,0.577,2.25E-05,2.20E-05,2.44E-05,1.11172484,0.022210301,0.024691743
NA,5,1,DPSE,1,F,0.0016,0.0015,4,0,0.5,0.25,5.78E-05,6.66E-05,,,,0.0001,4,0.578,3.85E-05,3.99E-05,3.34E-05,0.83803895,0.398545817,0.333996919
NA,5,2,DPSE,1,F,0.00114,0.00109,4,3,0.5,0.25,4.44E-05,4.54E-05,,,,0.00005,4.05,0.578,2.59E-05,2.60E-05,2.54E-05,0.97430936,0.520803958,0.507424171
NA,5,3,DPSE,1,F,0.00156,0.00144,4,6,0.5,0.25,5.32E-05,6.07E-05,,,,0.00012,4.1,0.578,3.42E-05,3.53E-05,3.00E-05,0.84870078,0.294396412,0.249854465
NA,5,4,DPSE,1,F,0.00115,0.00093,4,9,0.5,0.25,4.99E-05,5.45E-05,,,,0.00022,4.15,0.578,3.03E-05,3.10E-05,2.78E-05,0.89662796,0.140904218,0.126338661
NA,5,5,DPSE,1,M,0.00085,0.00077,4,12,0.5,0.25,3.93E-05,4.33E-05,,,,0.00008,4.2,0.578,2.38E-05,2.44E-05,2.16E-05,0.8868476,0.304837841,0.270344707
NA,5,6,DPSE,1,M,0.00092,0.00095,4,15,0.5,0.25,4.60E-05,4.90E-05,,,,-0.00003,4.25,0.578,2.66E-05,2.71E-05,2.50E-05,0.92417238,-0.902360507,-0.833936658
NA,5,7,DPSE,1,M,0.00114,0.00107,4,18,0.5,0.25,4.86E-05,5.22E-05,,,,0.00007,4.3,0.578,2.81E-05,2.86E-05,2.61E-05,0.91392737,0.408319522,0.373174388
NA,5,8,DPSE,1,M,0.0008,0.00084,4,21,0.5,0.25,3.78E-05,4.11E-05,,,,-0.00004,4.35,0.578,2.18E-05,2.23E-05,2.01E-05,0.90089882,-0.557510339,-0.502260409
NA,7,21,DPSE,4,F,0.00164,0.00147,4,0,0.5,0.25,7.59E-05,6.68E-05,,,,0.00017,4,0.5778283,3.85808E-05,3.71835E-05,4.38568E-05,1.179469889,0.218726196,0.257980962
NA,7,22,DPSE,4,F,0.00161,0.00148,4,3,0.5,0.25,7.34E-05,6.82E-05,,,,0.00013,4.05,0.5778687,3.89413E-05,3.81597E-05,4.18923E-05,1.09781288,0.293536476,0.322248124
NA,7,23,DPSE,4,F,0.0183,0.0015,4,6,0.5,0.25,6.85E-05,6.34E-05,,,,0.0168,4.1,0.561032,3.46841E-05,3.39463E-05,3.74701E-05,1.103806448,0.00202061,0.002230363
NA,7,24,DPSE,4,F,0.00167,0.00149,4,9,0.5,0.25,7.59E-05,6.68E-05,,,,0.00018,4.15,0.5778182,3.71857E-05,3.58388E-05,4.22708E-05,1.179469889,0.199104703,0.234838002
NA,10,9,DPSE,2,F,0.00164,0.00147,4,0,0.5,0.25,7.34E-05,6.82E-05,,,,0.00017,4,0.578,3.94E-05,3.86E-05,4.24E-05,1.09781299,0.227259154,0.249488052
NA,10,10,DPSE,2,F,0.00161,0.00148,4,3,0.5,0.25,6.85E-05,6.34E-05,,,,0.00013,4.05,0.578,3.62E-05,3.54E-05,3.91E-05,1.10380544,0.272282157,0.300546528
NA,10,11,DPSE,2,F,0.0183,0.0015,4,6,0.5,0.25,7.59E-05,6.68E-05,,,,0.0168,4.1,0.561,3.65E-05,3.52E-05,4.15E-05,1.179469,0.002096551,0.002472817
NA,10,12,DPSE,2,F,0.00167,0.00149,4,9,0.5,0.25,7.23E-05,5.95E-05,,,,0.00017,4.15,0.578,3.31E-05,3.12E-05,4.03E-05,1.28943489,0.183742249,0.236923667
NA,10,13,DPSE,2,M,0.0009,0.00074,4,12,0.5,0.25,3.65E-05,3.93E-05,,,,-0.00059,4.2,0.579,2.17E-05,2.21E-05,2.01E-05,0.91033674,-0.037410885,-0.034056503
NA,10,14,DPSE,2,M,0.00087,0.00091,4,15,0.5,0.25,5.21E-05,4.63E-05,,,,0.00013,4.25,0.578,2.52E-05,2.43E-05,2.83E-05,1.16442165,0.187259291,0.218048773
NA,10,15,DPSE,2,M,0.00089,0.00074,4,18,0.5,0.25,4.44E-05,4.96E-05,,,,-0.00002,4.3,0.578,2.67E-05,2.74E-05,2.39E-05,0.87028293,-1.371870319,-1.193915321
NA,10,16,DPSE,2,M,0.00099,,4,21,0.5,0.25,-2.31E-07,0.00E+00,,,,0.00025,4.35,0.578,0.00E+00,3.26E-08,-1.23E-07,-3.77554919,0.000130269,-0.000491836
NA,20,21,DPSE,3,F,0.00184,0.00167,4,13,0.5,0.25,9.23E-05,1.06E-04,,,,0.00017,4.22,0.578,5.83E-05,6.03E-05,5.06E-05,0.83906792,0.354832042,0.297728183
NA,20,22,DPSE,3,F,0.00195,0.00172,4,15,0.5,0.25,1.05E-04,1.14E-04,,,,0.00023,4.25,0.578,6.22E-05,6.37E-05,5.69E-05,0.89309899,0.27676672,0.247180078
NA,20,23,DPSE,3,F,0.00194,0.00169,4,18,0.5,0.25,1.05E-04,1.18E-04,,,,0.00025,4.3,0.578,6.36E-05,6.55E-05,5.64E-05,0.86118911,0.261911604,0.225555421
NA,20,24,DPSE,3,F,0.00205,0.00184,4,21,0.5,0.25,9.66E-05,1.00E-04,,,,0.00021,4.35,0.578,5.32E-05,5.37E-05,5.13E-05,0.95652431,0.255480865,0.244373659
NA,20,25,DPSE,3,M,0.00129,0.00098,4,24,0.5,0.25,6.47E-05,5.46E-05,,,,0.00031,4.4,0.578,2.87E-05,2.73E-05,3.40E-05,1.24620594,0.08794615,0.109599015
